"code","iso","country","PEP.raw.1999","PEP.raw.2000","PEP.raw.2001","PEP.raw.2002","PEP.raw.2003","PEP.raw.2004","PEP.raw.2005","PEP.raw.2006","PEP.raw.2007","PEP.raw.2008","PEP.raw.2009","PEP.raw.2010","PEP.raw.2011","PEP.raw.2012","PEP.raw.2013","PEP.raw.2014","PEP.raw.2015","PEP.raw.2016","PEP.raw.2017","PEP.raw.2018","PEP.raw.2019","PEP.raw.2020","PEP.raw.2021","PEP.raw.2022"
634,"QAT","Qatar",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0891581995041695,0.101321225915438,0.119006005378629,0.133109366681722,0.141149547399073,0.158133880594518,0.158403878274367,0.152642353387311,0.142830768688284,0.130954259166614,0.119042053440498,0.0776335111333965,0.0597932111476039,0.0608439201940878
178,"COG","Republic of Congo",0.00440315846757056,0.00491854990837833,0.00486289072467034,0.00321017623684127,0.00268890324161262,0.00208779134133333,0.00236519381070409,0.00289208185119047,0.00251132954042103,0.00255605684785738,0.00309677136824664,0.00413411022097675,0.00455835108611373,0.00379541437659186,0.00313545346330691,0.00248436863073311,0.00238853666147105,0.00263303560025163,0.00271307216133263,0.00324919491181793,0.00373121200279018,0.00450973085589026,0.0043136837756241,0.00436150110158098
642,"ROU","Romania",0,0,0,0,0.0010989494113892,0.00275176757415075,0.00464839544728015,0.00876501706359385,0.0111305324539591,0.0108713272521411,0.00669871171583413,0.00384526828994584,0.0028106399654229,0.00131149203363696,0,0,0,0.000122418112304398,0.00301424449148222,0.00547181751178148,0.00580240194025596,0.00497134331667778,0.00682220839954732,0.0068587105667337
643,"RUS","Russia",0.014447165010203,0.0128320221696202,0.0113919833176681,0.0111096153483105,0.0136858181675046,0.0161406107799079,0.0181967710428781,0.0209953864242834,0.0218483151868734,0.0227967115246597,0.0199552035106317,0.0206461795983105,0.0221056795119785,0.0229196049423162,0.0221545827222662,0.0220395060800427,0.0213094336669296,0.0218546006868708,0.0236704993910362,0.0268148410162188,0.0265184596657651,0.0246229911172064,0.0276053388037704,0.0261433000425303
646,"RWA","Rwanda",0.000180369075454004,0.000204075517063863,0.000258428073667001,0.000307262531843151,0.000360813113706356,0.000398929586474674,0.000401127111000204,0.000418464638706665,0.000449652765729947,0.00047650428909129,0.000511749079810123,0.000533610294845421,0.000517356184493626,0.000508421705832776,0.00050132503978814,0.000482657949874646,0.000523721981855064,0.000522484025933565,0.000529328665481237,0.000534368548044767,0.000545670789973211,0.000547233746890319,0.000550267607065583,0.0005469401278239
652,"BLM","Saint Barthelemy",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
659,"KNA","Saint Kitts and Nevis",0.00884365585809893,0.00988483482062638,0.0103306062157344,0.0112753967601444,0.0113834302885517,0.0120131680570045,0.0110190190458831,0.0101399581541278,0.0100977769461175,0.0095307045283258,0.00928040170486056,0.00882479438383665,0.00885136712028781,0.00786264898462032,0.00736594038158989,0.00763934376830031,0.00732963367733045,0.00701160688407905,0.00701116753473905,0.0073772948330625,0.00805753152014148,0.00711090384239994,0.00706930099165797,0.00634503706921181
662,"LCA","Saint Lucia",0.00640898480691222,0.00661543232454992,0.00629634895645916,0.00457964192005517,0.00488084512360015,0.00457647302686819,0.00404157894503691,0.00417977461507846,0.00283852920851189,0.00196955203949931,0.00202690512310947,0.00270588262755296,0.00270777458372861,0.00226836747058567,0.00230825221220844,0.00323324106256883,0.00372595134504454,0.00401133728886563,0.0039860879281298,0.00386835059619222,0.00407841715327074,0.00402073697345895,0.0038874019908513,0.00382112943259511
670,"VCT","Saint Vincent and the Grenadines",0.00522408245656853,0.00475211019836385,0.0051073116508925,0.00501828580521562,0.00510239077204472,0.00566974019631068,0.00583403427435996,0.00564117995007453,0.00631526251094,0.00496357282593763,0.00735926028434923,0.00533473618683814,0.00409849117483952,0.00450054519290912,0.00312384433770398,0.00422454767458042,0.0029456170102953,0.00320383924909668,0.00382078890804973,0.00329754786559283,0.00493579440747863,0.00436524613631968,0.00354085820889964,0.00373135772272687
882,"WSM","Samoa",0.00147749730695283,0.00159377037966284,0.00178642245539238,0.00185789024942692,0.00195257150400056,0.00197270038770789,0.00201759264309512,0.00201163670983117,0.00193659080303561,0.00188859918746487,0.00189371754897104,0.00197309717847441,0.00221973647529745,0.00232793623576397,0.002426677662329,0.00252565326279141,0.00288325704926875,0.00289349373440419,0.00281245735061732,0.00279078070717676,0.00242758898039946,0.00241778270934938,0.00246067844335056,0.00247670711161412
674,"SMR","San Marino",-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0115915531485117,0.0108656642949278,0.00984719355583042,0.00749020541383697,0.00699898038440947,0.00634734979589015,0.00556038577580252,0.00505520814768125,0.00527556667158413,0.00574411909244623,0.00545788710048477,0.00480881225436238,0.00414628794911128,0.00271658060352965,0.00170713895585947,0.00231719947572088,-9999
678,"STP","Sao Tome and Principe",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000979003555324811,0.000969188452215099,0.00101595092314559,0.00103173776365863,0.00104802997782044,0.00105246199734725,0.00110931217246057,0.00115016997773283,0.00109910697949955,0.0010620907465273,0.000951754383659537,0.000933627937932273,0.000865682203929477
682,"SAU","Saudi Arabia",0.0036850813591493,0.00419957720073527,0.00651542379397463,0.0108503182107268,0.0159664697018743,0.0236809479679752,0.026648320603444,0.0309082815176844,0.0290701336507309,0.0288953504475953,0.0279158009980078,0.0305327398664161,0.0297737017161979,0.032262445835061,0.0305343253860536,0.0336681662952727,0.0365816683850229,0.0341705439924667,0.0312447637693414,0.0277532043574191,0.0228551713844426,0.0198345688482548,0.0170524740041409,0.0184953915145247
686,"SEN","Senegal",0.000752823958087744,0.000827263105140155,0.000836624140920454,0.000798345848233683,0.00075564522166755,0.000840687668652366,0.000887716601198113,0.000890235309351145,0.000853706307839973,0.000824738995780375,0.000831773276563076,0.00110830194075009,0.00129022124722934,0.00128446617023714,0.00129427870372196,0.00136269029164922,0.00145592081545022,0.00154188189565908,0.00148300874207182,0.00146562067179627,0.00147218267269851,0.00157962862547523,0.00173282460479943,0.00173130301673767
688,"SRB","Serbia",-9999,-9999,-9999,-9999,-9999,0.0219985230145228,0.0175148070432921,0.0211350578138267,0.0233913361018489,0.0251487490917116,0.0181843283575743,0.0142108235482468,0.0130995233544266,0.00942304917547857,0.00819939059493368,0.00447895617873317,0.00419292704162281,0.00677381049360369,0.00887266832983975,0.0110285919697818,0.0119985406442183,0.0126295720930555,0.0138437173000478,0.0141900798739548
690,"SYC","Seychelles",0.0150744774049277,0.018317595610049,0.0214409629905981,0.020218060417843,0.0191487568677009,0.0216971017573696,0.0195445404858254,0.0179448918141038,0.0139629369224633,0.0126606315371999,0.00746376440200586,0.00298024729885367,0,0,0,0,0,0.0029995733678847,0.00689533386213511,0.0102437626710763,0.0120581242773789,0.0125349434563021,0.0110994361875185,0.00937187600830847
694,"SLE","Sierra Leone",0.000222409169127332,0.000233585673673417,0.000222845446621762,0.000289915389711703,0.00047173461266604,0.00069478331975762,0.000883305024288087,0.00115061226316559,0.00114280856065243,0.00108729089960928,0.00102684602098336,0.000911065388347699,0.000882640881954308,0.000962732923837216,0.000992483878218904,0.00107935474666432,0.0010396316669889,0.00116239188147283,0.00114264051341481,0.00120675429262874,0.000998521907835706,0.000838339558216091,0.000725218107279763,0.000820550762205294
702,"SGP","Singapore",0.0137867693412151,0.0144236999000954,0.015087125372559,0.0120159634886008,0.0128789638350495,0.0147757137546927,0.00704282584837008,0.00625150626740395,0.0090307726963637,0.0128653657933981,0.0288352209184532,0.0252411136241058,0.0158345823429602,0.016511892121746,0.0191939251756848,0.0201738334298493,0.020107322054873,0.00916999055341442,0.00385128310351428,0.000989766339296533,0.00900738509744114,0.00992597631699595,0.00380022468968137,0.00263449541981125
534,"SXM","Sint Maarten",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
703,"SVK","Slovakia",-9999,-9999,0.00636964567786143,0.00751156299976579,0.00846161219752941,0.00867097936899667,0.00942926858462972,0.0105287820360687,0.0102218908837959,0.0107706395605862,0.00848572553904254,0.00767244625344679,0.0067557740284411,0.00551394964713594,0.00512723702463921,0.00380211829593218,0.00423472242688975,0.00568221877001973,0.00726844181918491,0.00870066630266009,0.0075507531937182,0.00680835312360556,0.0086574522331855,0.0086415101412542
705,"SVN","Slovenia",-9999,-9999,-9999,-9999,-9999,0.0126172882278299,0.0131226418841499,0.0137416079634553,0.0148547965136532,0.0158210234900125,0.0129243205624851,0.0105302244002134,0.00901238034939778,0.00727364982674064,0.0054030931550405,0.0028976739455424,0.00230663560736597,0.00307308895360018,0.00201532483413424,0.00432606676769667,0.00437517843709121,0.0034262574201089,0.00440045838652415,0.00486276486881334
90,"SLB","Solomon Islands",0.000573584752583501,0.000568494212844212,0.000568779437560277,0.00057047015103034,0.000583694438589864,0.000623875795774568,0.000659590334748644,0.000692271845067381,0.000728167151687957,0.000763129855359622,0.000781662774206052,0.000798198816368518,0.000817512893118923,0.000817422006308802,0.000855582092193435,0.000777623513632366,0.000654775542602036,0.000558935439409111,0.000480411408642438,0.000441380858718282,0.00045560916050378,0.0004705035563818,0.000529711555821738,0.00059292414188869
706,"SOM","Somalia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00119131154392104
