"code","iso","country","BLC.raw.2000","BLC.raw.2001","BLC.raw.2002","BLC.raw.2003","BLC.raw.2004","BLC.raw.2005","BLC.raw.2006","BLC.raw.2007","BLC.raw.2008","BLC.raw.2009","BLC.raw.2010","BLC.raw.2011","BLC.raw.2012","BLC.raw.2013","BLC.raw.2014","BLC.raw.2015","BLC.raw.2016","BLC.raw.2017","BLC.raw.2018","BLC.raw.2019","BLC.raw.2020","BLC.raw.2021","BLC.raw.2022"
132,"CPV","Cabo Verde",1.19294666698681e-06,1.21051522449685e-06,1.23430724023092e-06,1.20825299058816e-06,1.22683792062085e-06,1.28878912554666e-06,1.29683565638442e-06,1.36648028890855e-06,1.23749670936595e-06,1.2375094056765e-06,1.17676695685671e-06,1.21122204411913e-06,1.20685338595452e-06,1.16605334142242e-06,1.12288854681123e-06,1.1181369236203e-06,1.10127023794531e-06,1.10455373945817e-06,1.09793354965446e-06,1.11211625561832e-06,1.1297531862e-06,1.12320181319629e-06,1.11958314001473e-06
116,"KHM","Cambodia",7.16677389238542e-07,7.28209156801732e-07,7.08899879771726e-07,7.08194346825822e-07,7.09656874337941e-07,7.10226638501052e-07,7.08670844999999e-07,7.04652345021926e-07,6.99955725513125e-07,7.25057984230284e-07,7.1198951289861e-07,7.14579277448978e-07,7.25379913954178e-07,7.31617097261115e-07,7.48755735188077e-07,7.58662722344374e-07,7.72787807959892e-07,7.67306848893532e-07,7.52430447910527e-07,7.81381666031538e-07,7.78490460343505e-07,7.67907386410248e-07,7.5544421829066e-07
120,"CMR","Cameroon",1.40205631083156e-06,1.38973980331608e-06,1.45552649243671e-06,1.45251403135768e-06,1.4507673918493e-06,1.43998308913782e-06,1.24951230548346e-06,1.03808881737338e-06,1.03351837098763e-06,1.06035695135906e-06,1.03829702339105e-06,1.0324914023432e-06,1.0351858469848e-06,1.04689017073656e-06,1.05740446418358e-06,1.0588188871586e-06,1.05531789128322e-06,1.04270613329793e-06,1.03643069712767e-06,1.0309573856797e-06,1.0230727009798e-06,1.01552796149262e-06,9.89319102862416e-07
124,"CAN","Canada",9.37348746623688e-07,8.63459362712435e-07,8.55131194779634e-07,8.87379628914511e-07,9.09021129159446e-07,8.56289077948305e-07,8.18983359474e-07,8.16095197414968e-07,7.80280033693005e-07,7.14704257004299e-07,7.11176698844416e-07,6.58113289492826e-07,6.08649714688752e-07,5.90707349463389e-07,5.57359798601874e-07,5.28889617389808e-07,4.68133237436799e-07,4.60602796903714e-07,4.45889478557626e-07,4.14554240320248e-07,3.70895013347022e-07,3.75868289568668e-07,3.70642633780845e-07
136,"CYM","Cayman Islands",5.42521374375102e-07,5.40288333342527e-07,4.55274215501135e-07,4.42909916706764e-07,4.07301041874396e-07,4.24340161740933e-07,4.41310643549459e-07,5.08864846821274e-07,5.53320527709638e-07,5.34189497855646e-07,5.37315116837878e-07,3.1081790827739e-07,3.4030222769306e-07,3.28499297793962e-07,3.17703119104936e-07,3.16415313143733e-07,3.09797351254113e-07,3.08147702275535e-07,3.040208986989e-07,3.04869876194832e-07,2.62812035455906e-07,2.6516640612828e-07,2.70927478456454e-07
140,"CAF","Central African Republic",1.18115149773103e-06,1.15490850586809e-06,1.13327286430138e-06,1.10986807203359e-06,1.09247738345827e-06,1.09622240085133e-06,1.08439635339349e-06,1.07813949222263e-06,1.06535975243025e-06,1.05175167746091e-06,1.00336429580753e-06,9.4977373866545e-07,9.12565811369919e-07,8.6977070675946e-07,8.40035408648798e-07,8.07878997451548e-07,7.69641363198677e-07,7.3211821416753e-07,6.94784179839088e-07,6.78355266233513e-07,6.62730378320165e-07,6.49059067808451e-07,6.346736946778e-07
148,"TCD","Chad",1.16345523637158e-06,1.14880454529711e-06,1.13733785627064e-06,1.13850003023813e-06,1.13396920639781e-06,1.14368607769944e-06,1.13334350877989e-06,1.12803797121621e-06,1.11596511781062e-06,1.099230830282e-06,1.04729525070313e-06,9.85124658417525e-07,9.341831498882e-07,8.74395240402062e-07,8.26736857163181e-07,7.87938426034623e-07,7.4707404543069e-07,7.05626598064482e-07,6.68913521617326e-07,6.5350515534017e-07,6.41579503685696e-07,6.28868675983985e-07,6.09931143357515e-07
152,"CHL","Chile",1.2589807498559e-06,1.22969573205873e-06,1.23381845879524e-06,1.18889080281989e-06,1.24135974573548e-06,1.25692333742438e-06,1.29457321994504e-06,1.36196683756189e-06,1.38970301184934e-06,1.36103261576473e-06,1.328124212654e-06,1.47066292502055e-06,1.43195722659772e-06,1.51779930807099e-06,1.48574429207116e-06,1.47748179001136e-06,1.51258790263629e-06,1.48452807893063e-06,1.49822664651754e-06,1.44126197646019e-06,1.34396180493648e-06,1.3037382936355e-06,1.31336299929826e-06
156,"CHN","China",1.17348104537795e-06,1.18386395577524e-06,1.17390103545752e-06,1.19990841474841e-06,1.24893869964193e-06,1.29845350730247e-06,1.31457274202021e-06,1.29510702825718e-06,1.25815703002613e-06,1.25041101284293e-06,1.26121087039618e-06,1.24262140473304e-06,1.22610749561595e-06,1.15845450011216e-06,1.06328822232697e-06,9.64657937369074e-07,8.96400670523646e-07,8.79920381827247e-07,8.32696233822115e-07,7.789760785875e-07,7.64586948907625e-07,7.63333593746049e-07,7.45674192755487e-07
170,"COL","Colombia",4.8839889601752e-07,4.77986725111821e-07,4.56642606801003e-07,4.91765346320327e-07,4.57651526019848e-07,4.66349496361459e-07,4.87223685916467e-07,5.17312142724686e-07,5.08432611695758e-07,5.16810157901137e-07,5.12363278967683e-07,5.55317320491619e-07,5.66558578941514e-07,7.21718649738667e-07,7.17746158348106e-07,6.69718114878301e-07,6.40095289120155e-07,5.43211784164082e-07,5.35772473111686e-07,5.30608723842406e-07,5.07645670835989e-07,5.1527260427732e-07,5.14098760428507e-07
